Unknown Number,Gene ID,Gene Type,LogFC,AveExpr,Gene Stable ID Ver,Gene name,Gene Type,Gene Start,Gene End
14541, ENSG00000248546.3, processed_pseudogene, 0.449817926522256, 0.0739725408539951, ENSG00000248546.3,ANP32C,processed_pseudogene,164197007,164197711,
14546, ENSG00000201050.1, snRNA, 0.380944080200912, 0.169836608364135, ENSG00000201050.1,RNU6-668P,snRNA,164787290,164787396,"RNA, U6 small nuclear 668,
14099, ENSG00000241651.4, processed_pseudogene, 0.404279512682501, 1.45653165012597, ENSG00000241651.4,,processed_pseudogene,128069014,128069612,
9189, ENSG00000232893.1, antisense, 0.332324200837872, 1.16260316392312, ENSG00000232893.1,IQCA1-AS1,lncRNA,236391074,236392388,
3525, ENSG00000271890.1, unprocessed_pseudogene, 0.320190293983216, -1.36267220821997, ENSG00000271890.1,OR10AE1P,unprocessed_pseudogene,159581620,159582648,
11271, ENSG00000251447.1, unprocessed_pseudogene, 0.378185159596748, -1.48449477144638, ENSG00000251447.1,,unprocessed_pseudogene,131537571,131537685,
14945, ENSG00000249966.1, antisense, 0.406176118522423, -1.57088069785401, ENSG00000249966.1,,lncRNA,1850950,1851497,
11845, ENSG00000241416.1, processed_pseudogene, 0.333480847907833, 1.47358934968596, ENSG00000241416.1,KRT8P13,processed_pseudogene,170495627,170496636,
15792, ENSG00000249721.1, processed_pseudogene, 0.350729381191646, -0.565217605618872, ENSG00000249721.1,,processed_pseudogene,67692812,67693200,
6215, ENSG00000212168.1, snoRNA, 0.315667144986971, 1.12966074628185, ENSG00000212168.1,,snoRNA,57544535,57544599,
7389, ENSG00000224967.1, processed_pseudogene, 0.649235461593516, -1.95301967458465, ENSG00000224967.1,,processed_pseudogene,117934025,117934789,
17836, ENSG00000233068.3, lincRNA, 0.324991053978402, 1.7055083210234, ENSG00000233068.3,,lncRNA,3831936,3894292,
15540, ENSG00000248464.1, antisense, 0.302032946591275, 0.88958386720194, ENSG00000248464.1,FGF10-AS1,lncRNA,44388732,44413989,
12780, ENSG00000250137.1, antisense, 0.310844412885973, 0.545555583332558, ENSG00000250137.1,,lncRNA,23560923,23768652,"novel transcript,
14544, ENSG00000248162.1, processed_pseudogene, 0.307143444813198, 0.947554717554617, ENSG00000248162.1,CHORDC1P3,processed_pseudogene,164725310,164726706,
18832, ENSG00000065491.8, protein_coding, 0.342718997221323, -0.153328742352383, ENSG00000065491.8,TBC1D22B,protein_coding,37257772,37332970,
9979, ENSG00000232455.2, antisense, 0.340682584439991, -0.955181888681376, ENSG00000232455.2,LARS2-AS1,lncRNA,45483974,45509545,
17887, ENSG00000283616.1, miRNA, 0.273137048749457, 0.593195030449873, ENSG00000283616.1,MIR5683,miRNA,6169334,6169409,
10157, ENSG00000228008.1, antisense, 0.405950325447342, -1.29803383842291, ENSG00000228008.1,,lncRNA,49903845,49916937,"novel transcript,
4055, ENSG00000285609.1, rRNA_pseudogene, 0.308945272067353, -1.43140739090981, ENSG00000285609.1,5S_rRNA,rRNA_pseudogene,182944365,182944490,
18519, ENSG00000255726.1, unprocessed_pseudogene, 0.339819105023502, 0.813700146036113, ENSG00000255726.1,,unprocessed_pseudogene,31222913,31223093,
12042, ENSG00000233441.6, transcribed_unitary_pseudogene, 0.259552460971446, -0.731860485443594, ENSG00000233441.6,CYP2AB1P,transcribed_unitary_pseudogene,183895900,183910936,"cytochrome P450 family 2 subfamily AB member 1,
12265, ENSG00000252620.1, snRNA, -0.316612824752093, -1.24091376891747, ENSG00000252620.1,RNU6ATAC24P,snRNA,195523087,195523221,"RNA, U6atac small nuclear 24,
13564, ENSG00000250677.1, processed_pseudogene, 0.34424658950632, 1.18100679508442, ENSG00000250677.1,,processed_pseudogene,83237303,83237444,"tumor protein,
14542, ENSG00000251162.1, processed_pseudogene, 0.288986286966654, 0.963753404984955, ENSG00000251162.1,,processed_pseudogene,164597719,164597976,
12770, ENSG00000239001.1, snRNA, 0.284058281834554, -0.736589822470625, ENSG00000239001.1,RNU6-420P,snRNA,22118983,22119089,"RNA, U6 small nuclear 420,
14566, ENSG00000249617.1, processed_pseudogene, 0.374689522165781, -0.129425141225655, ENSG00000249617.1,,processed_pseudogene,165045969,165046280,
15465, ENSG00000250048.2, lincRNA, 0.252694551635774, -0.535953826912674, ENSG00000250048.2,LINC00603,lncRNA,39892138,40053324,
15250, ENSG00000200600.1, misc_RNA, 0.337943037221574, -1.27459279703789, ENSG00000200600.1,Y_RNA,misc_RNA,23994502,23994603,
11797, ENSG00000222357.1, snRNA, 0.28599891338401, 3.44827010957692, ENSG00000222357.1,RNU2-20P,snRNA,168475198,168475388,"RNA, U2 small nuclear 20,
18853, ENSG00000217227.1, processed_pseudogene, 0.493059217950792, -1.44600790965359, ENSG00000217227.1,TFGP1,processed_pseudogene,38587323,38588529,
17665, ENSG00000253979.1, lincRNA, 0.646880754131361, -2.17342823170939, ENSG00000253979.1,,lncRNA,179377505,179378865,
8315, ENSG00000225406.1, processed_pseudogene, 0.222345073625716, 4.08890160960259, ENSG00000225406.1,ELF2P4,processed_pseudogene,185547135,185547818,
15889, ENSG00000226544.4, processed_pseudogene, 0.342316835504766, -0.566906433704992, ENSG00000226544.4,RPL7P22,processed_pseudogene,72725419,72726151,
8703, ENSG00000235864.1, processed_pseudogene, 0.296352879466076, 1.2139621293489, ENSG00000235864.1,HSPA8P6,processed_pseudogene,209072597,209074148,
3857, ENSG00000233540.1, sense_intronic, 0.249841735331847, 2.77274547745651, ENSG00000233540.1,DNM3-IT1,lncRNA,171864187,171864687,
4184, ENSG00000276735.1, misc_RNA, 0.281264406050096, 1.33907145117347, ENSG00000276735.1,Metazoa_SRP,misc_RNA,193236794,193237107,
14788, ENSG00000250410.1, antisense, 0.24529521474004, 0.781992260403395, ENSG00000250410.1,LRP2BP-AS1,lncRNA,185370725,185390928,
18723, ENSG00000242014.3, misc_RNA, 0.248490038900778, 1.74544920470465, ENSG00000242014.3,RN7SL26P,misc_RNA,33540694,33541000,"RNA, 7SL, cytoplasmic 26,
13318, ENSG00000248763.2, unprocessed_pseudogene, 0.332236472695574, -1.57995286065138, ENSG00000248763.2,,unprocessed_pseudogene,69066395,69069888,"UDP glucuronosyltransferase 2 family,
3659, ENSG00000227243.3, unprocessed_pseudogene, 0.294771386005946, -0.802685828847038, ENSG00000227243.3,SLAMF6P1,unprocessed_pseudogene,162445549,162446566,
